id,name,description,weight,price,image_url,quantity_in_stock,category
1,MP5,MP5,6.3,700,images/weapon/1.jpg,20,WEAPON
2,uzi,uzi,7.72,500,images/weapon/2.jpg,20,WEAPON
3,tec-9,tec-9,3.08647,500,images/weapon/3.jpg,20,WEAPON
4,mac-10,mac-10,6.26,450,images/weapon/4.jpg,20,WEAPON
5,UMP,UMP,5.8,700,images/weapon/5.jpg,20,WEAPON
6,Steyr Aug A3,Steyr Aug A3,7.9,1800,images/weapon/6.jpg,20,WEAPON
7,HK33A,HK33A,8.05,2500,images/weapon/7.jpg,20,WEAPON
8,SA80,SA80,8.4,500,images/weapon/8.jpg,20,WEAPON
9,M4A1,M4A1,6.36,700,images/weapon/9.jpg,20,WEAPON
10,DPMS GII Recon,DPMS GII Recon,8.5,1759,images/weapon/10.jpg,20,WEAPON
11,DS Arms SA58 Mini OSW,DS Arms SA58 Mini OSW,9,1975,images/weapon/11.jpg,20,WEAPON
12,FN FS2000 tactical,FN FS2000 tactical,7.86,2779,images/weapon/12.jpg,20,WEAPON
13,MR762A1,MR762A1,9.94,3999,images/weapon/13.jpg,20,WEAPON
14,IWI Tavor SAR,IWI Tavor SAR,7.9,1999,images/weapon/14.jpg,20,WEAPON
15,MasterPiece Arms MPAR556,MasterPiece Arms MPAR556,7.8,950,images/weapon/15.jpg,20,WEAPON
16,FN FAL,FN FAL,9.48,400,images/weapon/16.jpg,20,WEAPON
17,Type 81,Type 81,7.5,800,images/weapon/17.jpg,20,WEAPON
18,M1A SOCOM 16,M1A SOCOM 16,9.2,2186,images/weapon/18.jpg,20,WEAPON
19,ARX100,ARX100,6.8,1950,images/weapon/19.jpg,20,WEAPON
20,ACR,ACR,9.8,2552,images/weapon/20.jpg,20,WEAPON
21,LE901-16s,LE901-16s,8.8,2544,images/weapon/21.jpg,20,WEAPON
22,SIG716 patrol,SIG716 patrol,9.3,2399,images/weapon/22.jpg,20,WEAPON
23,ak-103,ak-103,7.5,1500,images/weapon/23.jpg,20,WEAPON
24,IMI galil,IMI galil,9.8,800,images/weapon/24.jpg,20,WEAPON
25,kel-tec rfb,kel-tec rfb,8.1,1888,images/weapon/25.jpg,20,WEAPON
26,92A,92A1,2.215,355,images/weapon/26.jpg,20,WEAPON
27,M1911,M1911,2.44,800,images/weapon/27.jpg,20,WEAPON
28,Desert Eagle,Desert Eagle,4.4,1790,images/weapon/28.jpg,20,WEAPON
29,Glock 39,Glock 39,1.2,405,images/weapon/29.jpg,20,WEAPON
30,Five-Seven,Five-Seven,1.3,1169,images/weapon/30.jpg,20,WEAPON
31,227 Sub Compact,228 Sub Compact,1.82,800,images/weapon/31.jpg,20,WEAPON
32,p2000,p2000,1.36687,1000,images/weapon/32.jpg,20,WEAPON
33,M&P R8,M&P R8,0.79146,1300,images/weapon/33.jpg,20,WEAPON
34,PK,PK,19.84,1790,images/weapon/34.jpg,20,WEAPON
35,M82,M82,29.7,8900,images/weapon/35.jpg,20,WEAPON
36,IMI Negev,IMI Negev,16.31,5500,images/weapon/36.jpg,20,WEAPON
37,M249,M249,17,3500,images/weapon/37.jpg,20,WEAPON
38,M76,M76,10,2200,images/weapon/38.jpg,20,WEAPON
39,Dragunov SVD,Dragunov SVD,9.48,900,images/weapon/39.jpg,20,WEAPON
40,Longbow T-76,Longbow T-76,13.5,4300,images/weapon/40.jpg,20,WEAPON
41,M25,M25,11,3200,images/weapon/41.jpg,20,WEAPON
42,M40,M40,14.48,1000,images/weapon/42.jpg,20,WEAPON
43,1300 Tactical 12 GA.,1301 Tactical 12 GA.,6.3,1075,images/weapon/43.jpg,20,WEAPON
44,ATI Bernelli M4,ATI Bernelli M4,7.8,1999,images/weapon/44.jpg,20,WEAPON
45,Remington 870,Remington 870,7,1059,images/weapon/45.jpg,20,WEAPON
46,FN SLP MKI 12 Ga,FN SLP MKI 12 Ga,8.2,1429,images/weapon/46.jpg,20,WEAPON
47,MOLOT VEPR 12 GA,MOLOT VEPR 12 GA,9.25942,1499,images/weapon/47.jpg,20,WEAPON
48,5.56x45mm,NATO,0.0168571,0.23,images/ammo/1.jpg,20,AMMO
49,10mm,Auto,0.0178571,0.45,images/ammo/2.jpg,20,AMMO
50,11.43x23mm,.45 Automatic Colt Pistol,0.0178571,0.0328571,images/ammo/3.jpg,20,AMMO
51,7.62x51mm,NATO,0.0215714,0.59,images/ammo/4.jpg,20,AMMO
52,9x19mm,Parabellum,0.0177143,0.625,images/ammo/5.jpg,20,AMMO
53,12.7x33mm,.5 Action Express,0.0428571,0.917,images/ammo/6.jpg,20,AMMO
54,0.45,G.A.P.,0.0328571,1.417,images/ammo/7.jpg,20,AMMO
55,5.7x28mm,FN Herstal,0.00571429,0.4518,images/ammo/8.jpg,20,AMMO
56,12.7x99mm,.5 Browning Machine Gun,0.0942857,4.9599,images/ammo/9.jpg,20,AMMO
57,7.62x54mm,,0.0328571,0.25,images/ammo/10.jpg,20,AMMO
58,7.92x57mm,Mauser,0.0242857,0.57,images/ammo/11.jpg,20,AMMO
59,0.338,Lapua Magnum,0.0285714,0.210637177,images/ammo/12.jpg,20,AMMO
60,12 Gauge,Shotgun shell,0.0621429,0.718,images/ammo/13.jpg,20,AMMO
61,9x33mmR,.357 Magnum,0.0178571,0.3,images/ammo/14.jpg,20,AMMO
62,7.62x39mm,Type 81,0.0175714,0.26,images/ammo/15.jpg,20,AMMO
63,ZRAK ON-M76 Optic,Magnification:  ZRAK M76 4� 5�10�  Power: Tiritium,0.7,215,images/optic/1.jpg,20,OPTIC
64,telescopic SUSAT/ACOG,Magnification: 4x Power: Tritium,0.919,795,images/optic/2.jpg,20,OPTIC
65,swarovski PH 1.5-6x42SR,Magnification: 1.5-6x Power: None,1.09,1599,images/optic/3.jpg,20,OPTIC
66,schmidt and bender PM II 3,Magnification: 3-12x,1.89,3789,images/optic/4.jpg,20,OPTIC
67,NightForce w/BORS,Magnificatino: 5.5-22x Power: CR-123,0.8125,1399,images/optic/5.jpg,20,OPTIC
68,Leupold VX-III ,Magnification: 4.5-14 Power: None,0.94,549,images/optic/6.jpg,20,OPTIC
69,leuopold  & stevens Ultra Mark 4 M3,Magnification: 10x,1.38,1200,images/optic/7.jpg,20,OPTIC
70,aimpoint compc3,Magnification: 1x Power: One 3 Volt Lithium battery ,0.4375,500,images/optic/8.jpg,20,OPTIC
71,Trijicon ACOG,Magnification: 4x Power:Tritium,0.935,2155,images/optic/9.jpg,20,OPTIC
72,Hello Kitty Backpack,Hello Kitty Backpack,1,12,http://www.polyvore.com/cgi/img-thing?.out=jpg&size=l&tid=9398046,20,EQUIPMENT
73,"U.S. Military Surplus A.L.I.C.E. Pack, New","U.S. Military Surplus A.L.I.C.E. Pack, New",3,75,https://media.midwayusa.com/productimages/880x660/Primary/124/124431.jpg,20,EQUIPMENT
74,ARC'TERYX LEAF KHARD 60 Pack,ARC'TERYX LEAF KHARD 60 Pack,6,350,http://images.arcteryx.com/details/450x500/Khard-60-Pack-Wolf-Back-View.jpg,20,EQUIPMENT
75,Personal First Aid Kit,Personal First Aid Kit,1,25,http://www.p-wholesale.com/upimg/10/461a1/personal-first-aid-kit-280.jpg,20,EQUIPMENT
76,Combat LifeSaver Kit,Combat LifeSaver Kit,3,89,http://i2.photobucket.com/albums/y48/chris-l/DSC_0795.jpg,20,EQUIPMENT
77,Paramedic First Aid Kit,Paramedic First Aid Kit,4,234,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRj1wcdxtA-PScvoIOu9COfcgrFXgL_63kBNnF7AXBFwqjxFj9Mkg,20,EQUIPMENT
78,Compass,Compass,0.25,8,https://images-na.ssl-images-amazon.com/images/I/817V8g8WzdL._SL1500_.jpg,20,EQUIPMENT
